scope,comparison,mean_delta,ci_lower,ci_upper,excludes_zero
primary_endpoint,b1_vs_b2,0.7179927654980045,0.6466076998513037,0.7686503648928156,True
secondary_regime_a,b1_vs_b4,0.37181158318464985,0.3291190892685085,0.41450407710079107,True
secondary_regime_a,b4_vs_b2,0.34618118231335465,0.28618630935290346,0.40617605527380596,True
secondary_regime_b,b1_vs_b2,-0.03435477153700045,-0.03928756052754029,-0.02908532110965827,True
secondary_regime_b,b1_vs_b4,-0.0016995115421762712,-0.003501037944807403,-0.000275563212381863,True
regime_c_alpha_0.1,b1_vs_b2,0.6447090437148851,0.5466634933177221,0.7427545941120481,True
regime_c_alpha_0.1,b1_vs_b4,0.247967351365441,0.10523817850549125,0.4085064049290503,True
regime_c_alpha_0.3,b1_vs_b2,0.6767972682111544,0.5113765246152382,0.8327217130643192,True
regime_c_alpha_0.3,b1_vs_b4,0.2322015718938585,0.06473011617867801,0.4208738711492484,True
regime_c_alpha_0.5,b1_vs_b2,0.5191949737254468,0.35757169330287997,0.6808182541480134,True
regime_c_alpha_0.5,b1_vs_b4,0.20006775030894014,0.05062813839677079,0.34950736222110945,True
regime_c_alpha_1,b1_vs_b2,0.4480451048792172,0.33470535490149833,0.5267737680415777,True
regime_c_alpha_1,b1_vs_b4,0.11822403519939048,0.05516771142419512,0.18113605957374262,True
regime_c_alpha_10,b1_vs_b2,0.06282001103000555,0.024553361737536954,0.10108666032247413,True
regime_c_alpha_10,b1_vs_b4,0.041595813760714744,-0.0023876850724935507,0.10068043818814858,False
regime_c_alpha_iid,b1_vs_b2,-0.02606862284352157,-0.031034509139814738,-0.021102736547228416,True
regime_c_alpha_iid,b1_vs_b4,-0.000744948750534552,-0.0028422474980197205,0.0012874646245529752,False
